
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
6C:19:8F:55:B3:6F, 2019-03-17 23:00:58, 2019-03-17 23:08:09, 11,  54, WPA2, CCMP,PSK, -82,      172,       78,   0.  0.  0.  0,   9, BrunoWiFi, 
C4:A8:1D:2F:54:86, 2019-03-17 23:01:23, 2019-03-17 23:08:06,  6,  54, WPA2, CCMP,PSK, -81,      107,       23,   0.  0.  0.  0,  17, Wifiandranet_Joao, 
00:1A:3F:FD:E6:A2, 2019-03-17 23:01:00, 2019-03-17 23:08:02, 11,  54, WPA2, CCMP,PSK, -80,      170,        3,   0.  0.  0.  0,  10, ANDRA_E6A2, 
80:3F:5D:93:C8:F3, 2019-03-17 23:01:00, 2019-03-17 23:08:09,  5,  54, WPA2, CCMP,PSK, -80,      153,       30,   0.  0.  0.  0,  10, Wireless-N, 
00:1A:3F:F0:6E:89, 2019-03-17 23:00:57, 2019-03-17 23:08:07,  1,  54, WPA2, CCMP,PSK, -75,      236,       15,   0.  0.  0.  0,  10, ANDRA_6E89, 
00:1A:3F:A1:3B:60, 2019-03-17 23:01:00, 2019-03-17 23:08:06, 11,  54, WPA2 WPA, CCMP,PSK, -75,      262,      141,   0.  0.  0.  0,  19, cladia_wifiandranet, 
00:1A:3F:84:3C:F9, 2019-03-17 23:00:57, 2019-03-17 23:08:08,  1,  54, WPA2, CCMP,PSK, -58,      290,      298,   0.  0.  0.  0,  10, ANDRA_3CF9, 
00:1A:3F:FD:E6:98, 2019-03-17 23:00:59, 2019-03-17 23:08:09, 10,  54, WPA2, CCMP,PSK, -48,      304,      738,   0.  0.  0.  0,  10, ANDRA_E698, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
D8:08:31:0C:2A:F0, 2019-03-17 23:01:18, 2019-03-17 23:06:51, -56,       37, 00:1A:3F:FD:E6:98,
D0:77:14:E0:67:F7, 2019-03-17 23:01:01, 2019-03-17 23:06:30, -74,       22, 00:1A:3F:84:3C:F9,
58:10:8C:80:10:14, 2019-03-17 23:05:53, 2019-03-17 23:05:53,  -1,        3, 00:1A:3F:F0:6E:89,
88:E9:FE:86:FA:3C, 2019-03-17 23:02:42, 2019-03-17 23:03:51, -78,        3, (not associated) ,Wifiandranet_Joao
24:DA:9B:A1:DE:E2, 2019-03-17 23:02:33, 2019-03-17 23:02:33, -80,        1, 00:1A:3F:FD:E6:A2,
A8:47:4A:C2:FF:B5, 2019-03-17 23:03:21, 2019-03-17 23:03:21,  -1,        2, 80:3F:5D:93:C8:F3,
E4:02:9B:C6:C0:AA, 2019-03-17 23:01:57, 2019-03-17 23:07:00, -70,        7, 00:1A:3F:84:3C:F9,
F0:D7:AA:E4:4A:2D, 2019-03-17 23:01:59, 2019-03-17 23:06:59, -64,      144, 00:1A:3F:A1:3B:60,
F0:D7:AA:67:FE:5F, 2019-03-17 23:02:59, 2019-03-17 23:08:02, -82,        7, 00:1A:3F:FD:E6:A2,
80:3F:5D:93:C8:F3, 2019-03-17 23:02:20, 2019-03-17 23:07:23, -80,        5, (not associated) ,joao_wifiandranet1
BC:FF:EB:9D:AE:7D, 2019-03-17 23:01:04, 2019-03-17 23:07:21, -78,       39, 6C:19:8F:55:B3:6F,
B0:F1:EC:53:85:16, 2019-03-17 23:01:39, 2019-03-17 23:07:29, -78,       17, (not associated) ,ANDRA_6E89,SSV
A8:16:D0:C8:60:E1, 2019-03-17 23:01:03, 2019-03-17 23:08:09, -78,       78, 6C:19:8F:55:B3:6F,
88:03:55:29:BF:7E, 2019-03-17 23:00:59, 2019-03-17 23:08:09, -78,      440, 00:1A:3F:FD:E6:98,
AC:1F:74:4C:49:DB, 2019-03-17 23:02:37, 2019-03-17 23:07:22, -76,      297, 00:1A:3F:84:3C:F9,
58:04:54:17:6C:F9, 2019-03-17 23:01:00, 2019-03-17 23:08:06, -74,       74, 6C:19:8F:55:B3:6F,
84:38:38:32:1D:40, 2019-03-17 23:03:13, 2019-03-17 23:08:09, -68,      357, 00:1A:3F:FD:E6:98,Sports DV,iCam-H9R_012255,ANDRA_E698
A8:96:75:7C:41:A7, 2019-03-17 23:01:15, 2019-03-17 23:08:01, -62,      532, 00:1A:3F:FD:E6:98,106,08875123
5C:C9:D3:7F:63:93, 2019-03-17 23:01:03, 2019-03-17 23:08:02, -52,       86, 00:1A:3F:FD:E6:98,
B4:8B:19:05:68:D1, 2019-03-17 23:05:23, 2019-03-17 23:08:06,  -1,       23, C4:A8:1D:2F:54:86,
1C:91:48:09:DA:87, 2019-03-17 23:07:23, 2019-03-17 23:07:23,  -1,       12, 80:3F:5D:93:C8:F3,

