
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
64:66:B3:F9:A3:14, 2019-03-20 22:49:15, 2019-03-20 23:03:24,  6,  54, WPA2 WPA, CCMP,PSK, -82,      142,       17,   0.  0.  0.  0,  19, Daiane_wifiandranet, 
58:10:8C:80:10:14, 2019-03-20 22:49:14, 2019-03-20 23:04:26, 10,  54, WPA2, CCMP,PSK, -84,      175,       11,   0.  0.  0.  0,  16, Repetidor Quarto, 
00:1A:3F:FD:E6:A2, 2019-03-20 22:49:22, 2019-03-20 23:04:26, 11,  54, WPA2, CCMP,PSK, -83,       85,        0,   0.  0.  0.  0,  10, ANDRA_E6A2, 
80:3F:5D:93:C8:F3, 2019-03-20 22:49:14, 2019-03-20 23:04:26,  5,  54, WPA2, CCMP,PSK, -77,      434,       52,   0.  0.  0.  0,  10, Wireless-N, 
C4:A8:1D:2F:54:86, 2019-03-20 22:49:14, 2019-03-20 23:04:27,  6,  54, WPA2, CCMP,PSK, -75,      302,        0,   0.  0.  0.  0,  17, Wifiandranet_Joao, 
00:1A:3F:F0:6E:89, 2019-03-20 22:49:14, 2019-03-20 23:04:26, 10,  54, WPA2, CCMP,PSK, -79,      490,      301,   0.  0.  0.  0,  10, ANDRA_6E89, 
00:1A:3F:84:3C:F9, 2019-03-20 22:49:11, 2019-03-20 23:04:27,  1,  54, WPA2, CCMP,PSK, -69,      593,       20,   0.  0.  0.  0,  10, ANDRA_3CF9, 
6C:19:8F:55:B3:6F, 2019-03-20 22:49:14, 2019-03-20 23:04:26,  5,  54, WPA2, CCMP,PSK, -71,      505,     3501,   0.  0.  0.  0,   9, BrunoWiFi, 
00:1A:3F:A1:3B:60, 2019-03-20 22:49:14, 2019-03-20 23:04:27, 11,  54, WPA2 WPA, CCMP,PSK, -59,      575,     3022,   0.  0.  0.  0,  19, cladia_wifiandranet, 
00:1A:3F:FD:E6:98, 2019-03-20 22:49:11, 2019-03-20 23:04:27,  1,  54, WPA2, CCMP,PSK, -53,      655,     1535,   0.  0.  0.  0,  10, ANDRA_E698, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
FC:8F:90:E4:04:A3, 2019-03-20 22:49:51, 2019-03-20 22:58:58,  -1,        8, 80:3F:5D:93:C8:F3,
D0:04:01:4F:0C:4F, 2019-03-20 22:56:16, 2019-03-20 22:58:33,  -1,        2, 58:10:8C:80:10:14,
48:49:C7:29:84:5C, 2019-03-20 22:54:00, 2019-03-20 22:55:58,  -1,       16, 64:66:B3:F9:A3:14,
A8:96:75:00:B7:95, 2019-03-20 22:54:06, 2019-03-20 22:54:06, -84,        3, (not associated) ,106,08875123
A8:96:75:7C:41:A7, 2019-03-20 22:49:26, 2019-03-20 22:53:05,  -1,     1242, 00:1A:3F:FD:E6:98,
D0:77:14:E0:67:F7, 2019-03-20 22:49:15, 2019-03-20 22:51:29, -70,       12, 00:1A:3F:84:3C:F9,
0E:4B:88:00:A0:F5, 2019-03-20 22:54:14, 2019-03-20 22:54:14,  -1,        1, 64:66:B3:F9:A3:14,
F0:D7:AA:E4:4A:2D, 2019-03-20 22:50:13, 2019-03-20 22:58:15, -72,       22, 00:1A:3F:A1:3B:60,
28:83:35:28:19:D5, 2019-03-20 22:53:35, 2019-03-20 23:01:51, -76,       25, (not associated) ,CLARO-WIFI
80:3F:5D:93:C8:F3, 2019-03-20 22:49:51, 2019-03-20 23:03:01, -78,       13, (not associated) ,joao_wifiandranet1
00:3D:E8:B2:F2:94, 2019-03-20 22:49:40, 2019-03-20 23:03:16, -82,       41, 6C:19:8F:55:B3:6F,
58:10:8C:80:10:14, 2019-03-20 22:52:19, 2019-03-20 23:04:26, -84,      158, 00:1A:3F:F0:6E:89,
F0:D7:AA:EE:D1:B2, 2019-03-20 22:50:13, 2019-03-20 23:04:04, -84,     3016, 00:1A:3F:A1:3B:60,
D4:63:C6:9F:C2:E7, 2019-03-20 22:52:45, 2019-03-20 23:04:23, -82,     3461, 6C:19:8F:55:B3:6F,
24:DA:9B:A1:DE:E2, 2019-03-20 22:55:02, 2019-03-20 23:04:19, -78,        5, 00:1A:3F:FD:E6:A2,
50:B7:C3:C0:ED:9D, 2019-03-20 22:50:03, 2019-03-20 23:04:05, -78,       29, 00:1A:3F:84:3C:F9,
AC:1F:74:4C:49:DB, 2019-03-20 22:49:11, 2019-03-20 23:03:43, -74,       18, 00:1A:3F:84:3C:F9,
58:04:54:17:6C:F9, 2019-03-20 22:50:34, 2019-03-20 23:03:56, -68,       10, 6C:19:8F:55:B3:6F,BrunoWiFi
D8:08:31:0C:2A:F0, 2019-03-20 22:49:15, 2019-03-20 23:03:57, -56,       90, 00:1A:3F:FD:E6:98,
84:38:38:32:1D:40, 2019-03-20 22:49:11, 2019-03-20 23:04:23, -54,      291, 00:1A:3F:FD:E6:98,Sports DV,iCam-H9R_012255
B0:47:BF:C1:37:B9, 2019-03-20 22:56:46, 2019-03-20 23:04:26,  -1,        5, 58:10:8C:80:10:14,
38:63:BB:6C:9B:4C, 2019-03-20 22:49:40, 2019-03-20 23:04:15,  -1,      127, 00:1A:3F:F0:6E:89,

